阿
䉛𥯩
拗
拗彆
拗逼
熬不得
熬枯受淡
熬清受淡
熬清守淡
熬炼
袄团
鏖
鏖热
鏖糟
麋𪙡
㕭
㕭㕭答应
傲
坳桥
奥
奥劳
懊糟
懊老
懊躁
拗倒
拗口
拗味
拗弯
拗挢
拗撇
拗曲作直
拗桥
拗空
拗腔别调
拗路
拗𥡁
澳
隩路
骜
骜好
八刀
八字娘娘
八开
八抬八扱
八抬八绰
八月半
巴
巴不能
巴不能勾
巴家做活
巴巴里
巴弗能
巴弗能够
巴得
巴急
巴结
巴也勿能
巴勿得
巴勿能
巴勿能够
巴图
巴年巴月
巴明不晓
巴望
巴檐上屋
拔
拔剌
拔富
拔步床
拔短梯
拔草风
拔还
拔龙头
朳
疤瘢
疤癍
跁跒里
把
把信
把势
把弗得
把戏
把拉
把稳
把细
拔头筹
拔跳
跋
跋交
跋剌
跋勿倒
跋嘴
跋弗倒
跋榔宕
跋步床
䶕
爸
白⿰目匆⿰目匆
白包头
白吃白奘
白唇白舌
白嘈白嘈
白带
白浡
白白㕶
白白俚
白白生生
白白能
白白里
白瞪
白醭
白闯
罢
罢不得
罢不来
罢勿得
罢勿成
罢勿来
罢勿落
罢哉
罢弗得
霸
白哜白嚼
白嚼蛆
白地
白果眼儿
白果眼睛
白殕
白滚水
白滚汤
白狗赶羊騊里
白练
白练练
白老虫
白老鼠
白肚皮船
白肤肤
白脚花狸猫
白脸
白苣
白虀白嚼
白虀白浆
白蜡蜡
白话
白赖
白鲎
白鸽
白䩍䩍
白了了
白入己
白娄白娄
白寥寥
白弄卵
白日撞
白日闯
白日鬼
白木
白沙角
白溜溜
白皏皏
白碌
白腻腻
白蒲枣
白蒲沙
白蚂蚁
白赏
白迷迷
白露时节雨
白露身弗露
白面伤司
白飒飒
白龙瞟娘
白𪅃眼
白土鲋
白头公公
白头呈子
白头白扎
白席
白想
白松
白松松
白水
白洋纱
白淅淅
白皛
白相
白相相
白羊子
白虱子
白赏节
白身人
白雪雪
白鲞
柏子花
柏草
白嘴
白字
白摇摇
白撞
白撞贼
白洋洋
白纸锭
白𤅢
百
百会百穷
百发百中
百吊
百家司务
百差饭
百果
百步无轻担
百沸
百沸汤
百沸滚汤
百沸煎滚
百滚
百滚汤
百百跳
百花生日
百花粉碎
百货中百客
百中经
百伶百俐
百做百不着
百勿管
百勿高兴
百叫之乎
百子
百子炮
百子爆
百子鞭
百客堂
百懈
百晓通
百有分
百柱帽
百汁
百灵台
百知婆
百碎
百经
百胜百赢
百能百会
百能百俐
百脚
百脚债
百脚吃油火虫
百脚旗
百脚路
百践粉碎
拜冬
拜单
拜台
拜春
拜材头
拜板
拜牌
拜盒
拜节
拜送
拜门
摆
摆台面
摆姆
摆布
摆式
摆忙
摆拨
摆松香架子
摆款
摆踱
摆轿
摆酒
摆门头
摆饭
败宅基
败货
扳
扳剥
扳扳六十四
拜帖匣
拜毡
拜香头
搬唆
搬场
搬戏
搬托
搬斗
搬是斗非
搬汤摙水
搬碗掇盏
搬背
班
班浪钱
班驳
扳亲
扳价钱
扳叉头
扳只壶卢抠子
扳头
扳差头
扳桩相脚
扳纤
扳腔
扳腔做调
扳臀放屁
扳艄
扳节头
扳认
扳谈
扳足面子
扳错头
扳长扳短
扳障
扳面孔
扳驳
扳高
扳高嫌低
板
𢲔
𢲔扯
𦨚
半刁子
半半失业
半巴
半当中
半把
半点子
半痴不颠
半痴半颠
半窗
半边
板刷
板定
板归
板杀数
板板
板板六十四
板油
板牙
板腔
板门
板闼
板障
板面孔
板驳
版版六十四
版牙
伴
伴大夜
伴热闹
伴熟
半三不二
半三不四
半上日昼
半中年纪
半中腰
半中节
半二不三
半光不糙
半夜巴
半尴不尬
半开门
半截观音
半拦脚
半新旧
半日
半日天
半桌
半榻
半歇
半节
拌
帮
帮作
帮兴
帮家做活
帮家过活
帮岸
帮扶
帮撑
帮衬
帮辅
拌嘴搭舌
棒头
棒头出孝子
棒槌
棒槌接幡竿
棒槌敲木鱼
浜
浜兜
浜柴
浜滩
绊
蚌
保头
傍
包
包场
包头
包弹
包慌
包打听
包拍大红衫
包檐墙
包浆
包瞒
包稍
包脚布照会
包荒
包荡
搒
棓箠
縍
胞
胞浆水
饱筋长
饱蓬蓬
刨花
刨花水
宝贝
宝货
报
报应
报旺鞭
报死
抱出笼
抱弗上树
抱弗哭囡
抱弗平
抱心生
抱气弗平
抱牌位做亲
抱稳
抱腰
抱茧对
抱被
抱裙
暴
褓被
褓裙
饱䭊䭊
饱支支
北路
北鸟
暴出笼儿
暴出龙
暴发头
暴后生
暴好六十日
暴暴然
暴白
暴腌
爆
爆仗
爆孛娄
爆杖
背包延游
背娘舅
背搭
背板凳
背水纤
趵
𢖔
𥗋
㸢
偝背后
备弄
奔
奔金
本
本底子
本等
背单
背后头
背心
背心浪捱胡琴
背手
背梁脊骨
背皮
背脊骨
背脊骨上胡琴
背褡
蓓蕾头
被头
被横头
被窠
被铺
贝戎
鐾
颇牵
坌
坌工
坌狠
捹
本一使使
本一试试
本其
本则
本勒
本堂局
本家
本底仔
本拉
本来
本来朵
本立
本身
畚
畚金
绷
甏
甏头
绷冬绷冬
绷场面
绷子
绷拽
绷硬
绷筛
绷面子
绷鱼
迸
迸房间
通明
逼
逼剥
逼清
逼疽疽
逼立直
⿺毛爿
屄养
屄爿沿
屄骚风
屄𡰪嘴
毴养
通直
逼捉竖
逼竖
鼻
鼻亨
鼻伶仃
鼻冲
鼻哼
鼻塌嘴歪
鼻塌嘴铳
鼻头
鼻头管
鼻头绳
鼻搭嘴踵
鼻泡
鼻涕他通
鼻清水
鼻管
鼻观
鼻铳
鼻鼻仆仆
𣬼养
匕
比不得
比仔
比众不同
比傍
比勿得
比如
比子
比对
比并
比弗得
比得
比方
笔笔直
笔笔竖
笔管煨鳅
荸桃
鼻头塌
鼻子上挂鲞鱼
鼻子管
鼻子观
鼻烟壶
鼻相
哔剥
哔呖哔呖
哔哔叭叭
哔拍
必八
必力必力
必子
必律不剌
必必剥剥
必必文
必挺
必故
必立直
必过
毕剥
毕卜毕卜
毕拍
毕毕拍拍
毕毕文文
泌
熚熚剥剥
熚熚煿煿
碧波清
碧波生清
碧波青
秕
秕哑
秕细
笔聿直
笔脚
笔韬管
闭白眼
壁剥
壁喜
壁挺
壁洞
壁猫
壁直
壁立直
壁脚
壁虎袋
壁虱
壁蟢
壁角头
壁角落
壁间落
碧波爽清
碧清
碧溜清
臂巴
臂把
臂膊往里弯
避
避风头
咇唧咇唧
坒
堛
弼弼跳
弼杷
弼针
愎
扁扁伏伏
扁扁服服
扁毛
扁蒲
扁面孔
滗
煏
煸
篦头
篦箕
编䇫
编字号
编笄
腷膊
臂弯
臂撑子
蔽眼乌龟
蝙蝠子
觱栗鳅
边鱼脚
鐴
饆
鳊鱼脚
𢲾
便
便人
便介了
便船
匾㔸㔸
变
变兆
变嘴变脸
变头
变报
变死
变相
变面厾嘴
变面变孔
扁凿
扁扎
标
标劲
标墓
标头
标布
褊苣
别
别个
别别
别场化
别搭
婊子生
彪
摽
标致
滮
瘡風
瘪
瘪㿴㿴
瘪三
瘪子
瘪搭搭
瘪煞瘪煞
瘪疲
瘪都都
蟞虱
表叔
表致
表记
鳖
鳖威威
鳖生
鳖腿
鳖鲞干
㧙
冰
別路
别人
别人家
别仆别仆
别力朴六
别扑别扑
别朴别朴
别样
别格
别生能
别相
别立扑六
别脚
别过
别过老寿星
彆强
彆气
缤缤绷绷
蹩
蹩脚
蹩脚生
𢛎气
冰冰凉
冰冷冷
冰出
冰忌廉
冰排
冰断
冰梗
冰清水冷
冰牌
冰生冷
冰生卒窨
冰生测冷
冰窨
冰荡
冰风露水
冰鲜
并
并包
并叠
并帮
掤
掤筛
炳
病央央
并亲
并堆
并工
并房间
并迭
拨
拨剌
拨弗倒
拨拉
拨拉笃
拨来
波
伯姆
伯娘
伯拉
伯支婆
剥光鸡蛋
剥白
勃
勃交
勃兰
勃来风
勃窣
勃笼
孛娄
孛娄花
孛桃儿
孛相
孛篮喏
拨一使使
拨一拨动一动
拨一试试
拨信
拨勒
拨派
舶趠
蹳
钵头
钵焦
钹弗倒
驳嘴
驳头
㪍
㪍㪍然
博
哱喽喽
挬不动
薄
薄切刀
薄嘴
薄嚣嚣
薄希枭
薄幅
薄松松
薄枭
薄枭枭
薄相
薄福
薄绒绒
薄薄哩
薄薄器
薄薄浇浇
薄薄能
薄薄里
踣
鹁鸽圈
鹁鸽子
鹁鸽子旺处飞
鹁鸽子旺边飞
不
不比
不碍
卜流花
哺
哺哺鸡
哺坊
哺退
哺鸡
哺鸡笋
坺
捕
捕生不如捕熟
捕面
擘
擘手
擘黑
晡太阳
补
补代
补凑
补苦
逋
逋科
𥴮
不光不糙
不关事
不对
不尬不尴
不尲尬
不尴不尬
不尴尬
不常
不常时
不得
不拨不动
不槛不价
不犯
不犯着
不痴不颠
不道
不防
不𩴌魀
不上
不上不落
不上串
不习上
不会攀攀门楼会攀攀对头
不伶不俐
不入调
不勒
不匡
不受用
不好看相
不局
不律
不拉
不杀
不来
不枉
不楷
不监不介
不矕矕
不耐烦
不色骰
不见得
不诓
不说乌不说白
不轻容易
不输
不过
不过实梗
不过实概
不一使使
不一试试
不信
不信道
不像
不在乎此
不在心上
不消
不消说
不着
不知薡董
不知起倒
不要
不要说起
不谐
不雅相
不作兴
埠
埠头
布
布代
布头
布头布脑
布摆
布母
布毛气儿
布灰臭
布糙
布草
布衫
布袋
步
步檐
步步起花头
步船
步齐
篰
簿面
蔀
蔀檐
部
才
才丁
才方
才调
才间
擦
擦刮
擦白党
擦背
擦辣
材
材铺
材间
猜拳豁指
猜拳豁指头
财不露白
财乡
财发身发
财采
财香
彩凑
彩头
彩子
彩物
菜丫
菜剑
菜司
菜壳子
菜子
菜心
菜水
菜油麻油寻一件头由
菜粥
菜羹
菜花头
菜花玉箸
菜萁
菜蕻
蔡
裁衣店
财响
财支
采
采判
采头
采毛桃
仓场
仓庚
仓蒲
参
参冷痢
参前落后
参差
参条鱼
参答
残
残唾
残头落脚
藏
藏亢
藏叠
藏抗
藏菜
藏鱼
蚕乌
蚕事
蚕仓
蚕党
蚕娘
蚕山
蚕市
蚕布
蚕帐
蚕花
蚕连
嘈
嘈囋
嘈闲白夹
曹
曹公
槽坊
槽头血痒
橾
糙
糙擦
糙纸
草
草凹茧
草台
草头
草头郎中
草把
草披
草狗
草病
草皮泥
草索
草纽
草臼
草荐
草蒲鞋
草鞋虫
草𧟆
侧
侧头侧脑
侧首
恻力
憡剌
懆
测
测声能
测得火着
测死
测测没没
测测能
测测里
测测默默
测生能
测癞
测赖
测静
测黑
策划
策数
策铛铛
簎
草子头
草纸
草鞋香
騲
𡍫
叉
叉口
叉嘴
叉士
叉开
叉张夹嘴
叉断
叉袋
岑倒
扠
扱
插
插号
插和
插唇插咮
插嘴插舌
插子
插带
插花戴朵
插趣儿
曾
岔
岔开
差
差不多
查三问四
查帐
查账
梌
茶会
茶房
茶果
茶汤水
茶注
茶点
茶礼
茶脚
茶膏
茶船
茶迟饭晏
茶酒
茶里饭里
茶钟
𡝐
姹异
差也不多
差仿勿多
差勿多
差异
差弗多
差接头
差路
拆
拆壁脚
拆拆单单
拆白
拆白党
杈桠
诧异
拆份头
拆供老寿星
拆冷利
拆冷台
拆冷痢
拆分头
拆单
拆单单
拆号
拆天
拆姘头
拆家精
拆家败散
拆对
拆开
拆散场子
拆梢
拆梢党
拆淘
拆烂污
拆烧肉
拆稍
拆空心思
拆空老寿星
拆老
拆蚀
拆蜪
拆解
侪
差
差唤
拆丫匠
拆头
拆屋
拆屋斧头
拆屋榔槌
拆帐
拆拽
拆挖
拆絮
拆账
搀
柴
柴⿰禾𡻰
柴堆
柴房
柴把
柴株
柴棵
柴积
柴耙
馋劳
馋痨
馋虫
儳
嚵吐
瀺
瀺吐
缠
缠七夹八
缠勒绊
缠嘴夹舌
缠在八斗槽里
缠夹
缠夹二先生
缠夹大腿
缠夹大膀
缠帐
缠手
缠甲
缠袅
缠话
缠身龙
缠障
缠魂淘气
鑱
馋吐
馋唠
馋唠唠
馋唾
馋牢
馋獠
产母地
娼个
娼根
谄
谄头
铲
铲头
长
长便
长大
长工
长忽
长恐
长拢
长筹
长脚
长脚蚂蚁
长脚话儿
长袋
长路船
长龙
长𢻢筱
长𢻢𢻢
𥽽
常久
常便
常化
常壳
常川
常恐
长三
长声短气
长夭夭
长头砡砡
长妖妖
长子
长寿线
长年
长庄
长心
长性
长情
长攕攕
长是
长条子
长洲不让吴县
长洲弗让吴县
长生果
长算
长线放远鹞儿
长腰米
长舌头
长跳
长远
长鱼
厂
唱个
唱口
唱喏
场
场化
场哈
场头
场花
场许
场面
尝时
常匡
常堂堂
常怕
常性
常恇
常时
常是
常算
常自
常言俗语
常远
抄
敞豁豁
畅
嘲
抄发
抄小货
摷
朝
朝南落北
朝后
朝天馄饨
朝廷不差饿兵
朝廷勿差饿兵
朝窠
潮
潮信
潮头
潮头生日
潮生日
焯
超
超下扒
超儿
超淘
钞暴
钞老
钞袋
㷅
吵
吵家精
唓嗻
巢窠
扯
扯十
扯平
扯开
扯棚
扯满篷
扯空
扯空头
扯顺风旗
潮浴
炒刮
炒米
炒米粉
炒虾等不及红
车
车坊
车沟
车浜
车箩
车篷
车缺口
㨋
咕咕唧唧
坼
扯天
扯枭
扯直
扯谈
撤
撤烂屙
撤烂污
晨光
沉倒
沉杀
沉没
硩
趁
辰光
陈妈妈
陈姆姆
陈姥姥
陈家亲娘
陈家妈妈
陈桥
𤘣
趁副
趁势推船
趁口
趁哄打劫
趁嘴
趁工
趁常
趁心
趁心像意
趁息
趁意
趁手
趁步
趁水推船
趁水推落
趁水踏沉船
趁汉子
趁火
趁现成
趁脚
趁脚敲
趁脚跷
趁赌
趁赶
趁风收篷
趁食
趁饭
䞋钱
撑
炎
称
称副
称心像意
称怀
称意
称手
称身
称量
衬
衬副
衬贴
衬里
衬钱
衬银
谶兆
伧
成功
成团结块
成场
成帐
成房
成房立户
成淘
成淘作块
成淘作队
成淘结队
成腔
成队淘
成陶结队
挣
撑场面
撑工
撑开船头
撑火
撑篱竹
撑肠拄肚
撑肠摩肚
撑船
撑门炭
乘
乘乘然
乘风凉
吃
城头
城头上出棺材
城头浪出棺材
城王鬼叫
城砖
城货
城隍对城隍一样木头装
城隍老
承招
承顶
枨
牚腰糕
牚门炭
秤钩
秤钩儿打钉
称锤粽
程光
𫔘
𫔘腰糕
吃不住
吃不落
吃便饭
吃坏
吃大菜
吃家饭屙野屎
吃弗尽衣兜兜
吃得光
吃得落
吃戳头
吃本
吃狗屎
吃番菜
吃瘪子
吃白
吃花酒
吃跌
吃酱瓜
吃钝头
吃钝杠
吃饭
吃饭不知饥饱
吃饭家仗
吃饭家伙
吃饭家生
吃了河豚百样无味
吃亏
吃力
吃力弗赚钱赚钱弗吃力
吃口
吃客
吃客用客
吃尽当光
吃局
吃惊吃吓
吃惊吃怪
吃惊打怪
吃栗壳落
吃没
吃牢
吃空
吃筋吃力
吃粮弗管事
吃老蟹
吃落
吃蔑
吃讲茶
吃辣面
吃门闩
吃人碗半由人使唤
吃他一碗凭他使唤
吃他一碗由他使唤
吃勿光
吃勿落
吃区
吃吓
吃头
吃屎
吃情
吃手
吃排头
吃杀点心当不得饭
吃杀馒头当不得饭
吃死饭
吃生人脑子
吃生活
吃生米饭
吃生能
吃生葱
吃耐
吃虱留大腿
吃蚊子老虎
吃赔帐
吃软功
吃软勿吃硬
吃食
吃鲥鱼出骨炖
吃一巴二
吃一磴
吃一箝二看三
吃住
吃只兜弗尽
吃吓头
吃子对门谢夹壁
吃心
吃用
吃相
吃着
吃着朝顿无夜顿
吃硬
吃硬功
吃粥饭
吃糟茄
吃药
吃请对门谢隔壁
吃辛吃苦
吃重
吃野食
吃闲话
吃闲饭
㓾
持
池团团
狋吽
痴
痴不杀
痴不痴颠不颠
痴呆懞懂
痴呆懵懂
痴呆懵董
痴呆蒙懂
痴头搭脑
痴子
痴弗杀
痴汉等婆娘
痴汉等老婆
痴狗望着羊卵脬
痴球筋
痴腾腾
痴蛾
痴诶诶
痴货
痴迷
痴鹅头
眵
蚩
迟夯
迟来脚短
迟货
黐胶
黐饭
㢋
尺
尺头
尺头尺脑
謘謘哇哇
赤
赤光光
赤剥
赤单单
赤白地皮光
赤紧
赤脚
赤脚下泥
赤脚地皮光
赤脚汉
赤脚精光
赤脚荷花荡
赤脚讼师
赤脚跋倒
赤脚零丁
赤膊
赤骨立
赤骨肋
赤黑
赤𭥹𭥹
佁儗
佁相
充
充军胚
充同
冲前
冲口
冲口出
冲场
冲塘
冲天炮
冲头阵
彳亍
彳彳亍亍
翅关
翅扇
翅甲
赤亮亮
赤塔赤塔
赤心忠良
赤忒忒
赤日头里蚂蚁
赤淋淋
赤癞
赤稍雄
赤精精
赤练蛇
赤老
赤连蛇
赤链蛇
跮踱
冲
冲苁
崇腔
抽头
抽拔短梯
抽桥板
抽肠子
抽跳板
搊趣
樁
舂
舂凹谷
舂梅酱
虫形
虫腔
虫蛀蝗鱼
虫钻虱咬
重夕
重身
重阳信
重阳糕
铳
铳口出
铳头铳脑
铳手
𩅞
丑攀谈
偢睬
出
愁帽儿
愁担子
搊搜
稠直
绸披披
臭
臭乳腐
臭侷
臭吝
臭嬲
臭攀谈
臭朋朋
臭死
臭澎澎
臭皮敛眉
臭花娘
臭药水
臭货
臭贼
臭麦烧
踌论
出产
出会
出出色
出场
出店
出把戏
出挡
出攩
出材
出格
出档
出棺材
出浜
出笏
出粗
出膊
出花儿
出花头
出花样
出荡
出道
出锋
出风
出风头
出客
出尖
出局
出景
出活
出空
出空身子
出筋露骨
出精
出豁
出进
出郊
出世
出了丧讨材钱
出卵
出娘肚皮
出嫩
出屁头
出披
出来
出气
出热
出理
出生出世
出神倒鬼
出色
出路
出软
出辔头
出门出路
出门弗认货
出马一条枪
出龙
出头
出头椽子
出套
出尿
出息
出手
出手出脚
出手货
出烫
出脱
出趟
出跳
出蹚子
出躺子
出送
出帐
出幼
出心出力
出戏法
出显显
出月
出现
出相
出秀
出罪
出行
出言出语
出远
出𨥰
初一一句十五一句
初一一橹初二一橹
初出
初出日头暴出世
初出猫儿
初出行货
初头
初然
初西
初起头
厨司公
除
除开子
除掉
除起了
处
矗
触
触冒
触千捣万
触呆猪婆
触屄
触心
触心境
触恼
触气
触眼
触眼睛
触笔头
触耳
触霉头
除子
除是
除脱
传
传头
传彩席
传教
传消递息
传袋
处在
处暑十八盆
怵
椽
欪
穿
穿包
穿堂
穿头茧
穿崩
穿帮
穿房入户
穿扇面
穿破
穿筋斗
穿绷
穿跟斗
膗头
膗臛兜
避覷
㼷
串
传种
船
船到桥头自直来
船到桥直苗苗
船到桥门柱直来
船坊
船多不碍港
船头
船头上相骂船艄上讲话
船头浪相骂船艄浪讲话
船头浪跑马
船家长
船底下无水
船梢头
船横芦扉枭
船横芦篚嚣
船横芦飞嚣
船涡
船篷
船驾掌
串合
串同
串哄
串头
串头绳
串头绳仃倒拿
串好
串局
串戏
串扇面
串月
串熟
串熟鬼
串诈
串赌
噇
噇嘴头
床头一箩谷自有人来哭
床头人
床头顶
床底下摸蚌
疮靥
窗槛
窗盘
闯
𩪘腔
创
创格
吹手
吹打
吹木屑儿
吹灰煨火
吹牛屁
吹牛屄
吹牛皮
吹肚鱼
吹鸡
磢
闯事
闯口
闯和
闯堂子
闯寡门
闯席
闯穷祸
闯花门
闯门
闯食
𭒷
吹弹得破
吹隐灯
垂头落颈
戳
戳千刀
戳壁脚
戳天表
戳空枪
戳骨棒
捶天磬
春三二月
春不老
春二三月
春儿
春凳
春熟
春里
春风人情
涶吐
纯
纯夜
娖
惙气
慈孝竹
戳心
戳瞎眼睛
擉
糍糰
绰
绰板
绰烂污
绰白水
绰趣
辞年
辞歌
雌
雌哺雄
雌婆雄
雌捕雄
雌老虎
雌虎
雌鸡啼
雌鸡声
雌鸡雄鸭短头布
龊扑
𤿫
⿰日匆⿰日匆天亮
丛
从从然
从直
凑口馒头
凑手
凑趣
凑队
刺
刺促
刺搠
刺毛
刺水鱼
刺泥
刺鼠儿
欉
此道
淙
聪脆
葱管糖
葱管肚肠
葱菜
蛓毛虫
謥詷
鍯
餈糰
𫃕糕
促
促寿短命
促恰
促掐
促搭
促狭
凑头帽子
凑投
凑淘
凑现成
猝死
粗作
粗做
粗光倘
粗光淌
粗光荡
粗坯
粗心浮气
粗算算
粗粗里
粗纸
粗胚
醋
簇
簇崭新
簇崭新鲜
簇崭鲜
簇斩全新
簇斩新
簇新
簇新鲜
簇旧
簇簇
簇簇新
簇簇生新
簇簇鲜鲜
簇绽
簇绽新
簇绽新鲜
簇缀全新
蹙
醋炭
催亲
催生婆婆
撺
撺哄
撺唆
撺掇
撺来掇去
撺答
撺鲦
淬
焠
焠儿
焠得火着
窜掇
脆什碌碌
脆剥剥
脆骨
蹙蹙断
啐出来
存
存住
存坐
存想
存日
存活
存着
存身
寸骨寸伤
撮
晬
村坊
村木伯
皴
皴㿭
皴皵
綷䌨
𥨒
搓
搓得团挛捏得扁
搓手捻脚
搓手掷脚
搓挪
搓搓团圞捏捏扁
搓熟的汤团
撮俏儿
撮哄
撮头儿
撮头撮脚
撮弄
撮戏
撮戏法
撮把戏
撮掐
撮搭
撮松香
撮泡
撮空
撮药
撮鬼脚
蹉
蹉跌
䠡
挫
挫西
措
矬
矬小
矬西
矬话
错
错头
错娘
错手
错脚
错落错落
𣬿
𣬿屄
𣬿千人
𣬿瞎眼睛
𣬿祭
𣬿笔头
搭
搭伴
搭包
搭巴
搭帮
搭冈
搭圾
搭对
搭护
搭搏
搭搭
搭搭煞煞
搭架子
搭棚
搭江
搭浆
搭瘌杀
搭肩头
搭脚
搭膊
搭莿撒
搭讲
搭连牵
搭钮
搭鬼棚
搭一脚
搭之
搭仔
搭偕
搭在篮里便是菜
搭头
搭子
搭手
搭桥儿
搭棚水鬓
搭淘
搭煞
搭知
搭腔
搭识
搭谈
搭赸头
搭跳
搭陶搭队
嗒
嗒嗒
打
打办
打叉
打埃尘
打岔
打差
打把势
打熬
打茶会
打茶围
打辫
打长
沓
沓口
笪
答转
达月
达辣达辣
𩝣饼
打丁
打关节
打叠
打唱
打对
打常
打干
打底
打恶心
打房间
打春
打格磴
打格顿
打电
打短
打稿儿
打耳擦
打耳𦘅
打藁
打行
打趷蹬
打跌
打迭
打醋炭
打钉
打亨
打合
打后手
打呵欠割脱舌头
打呼
打呼屠
打换
打昏
打横
打汇票
打滑㳠
打滑塌
打滑挞
打滑遢
打灰堆
打话
打㖧涂
打交
打伙
打偏手
打嗑铳
打夥
打客铳
打料
打昏跎
打橛子
打没头
打没贯
打浑
打混
打渴铳
打看
打瞌铳
打磕铳
打磨
打绝板
打胚
打脚错
打闷棍
打听问信
打团团
打山头
打平伙
打平壶
打平火
打戗
打抢
打拳虫
打撬
打样
打气猪
打清水网
打牵
打生
打眼
打破句
打笑
打脱冒
打脱帽
打退船头鼓
打通帐
打铺
打降
打雄儿
打食
打骗手
大
大不了事
大大能
大大里
大布
大膀
大菜
大菜间
大败亏输
大阿福
打一
打中觉
打帐
打意
打招
打掌
打烊
打照会
打诈
打账
打阵
大个
大卵脬
大块头儿
大大人
大好老
大家
大宽转
大来头
大老官
大老母
大行大市
大行大店
大逗彭天
大道
大郎
⿰口呇嘴
呆
大先生
大卵气
大天白亮
大头
大头儿
大头厌子
大头大脑
大头寸
大头彭天
大头眩
大头罨子
大头蛆
大头魇子
大年朝
大手指桠
大样
大泼小用
大淘
大细
大行
汏
代
呆呆大
呆大
呆头呆脑
呆头木西
呆头踱脑
呆奴
呆徒
呆打呆
呆打孩
呆捉捉
呆木大
呆木徒
呆木木
呆渡
呆登登
呆瞪瞪
呆致致
呆蚩蚩
呆货
呆邓邓
带
懛
歹
歹不中
袋
带便
带局
带带
带当
带房间
带挡
带朵菜
带柄
带脚
带脚柱
带草
带道
带酒
埭
带信
带只眼睛
带眼
带累
带累乡邻吃薄粥
带累乡邻吃麦粥
带胎
带龙梢
待
待亏
待诏
戴仔箬帽亲嘴
戴炭篓子
柋
担
担东送西
担差
担带
担干系
担干纪
担愁
担肩子
担错
担饥
绐
骀骀里
𡉑
𡉑头
丹阳客人
单
单丁独一
单串
单单里
单墙薄壁
单实
单差
单布衫
单板头人
单衫
单被
单靠椅
担帚
担延
担心事
担斤两
担桑凳
担汤担水
担汤摙水
担盘
担绍
担羞
担肩胛
担轻
担郑重
担闷
担险
单头独颈
单是
单罩眼镜
弹
弹壁灯
担头
担桶
淡滋滋
淡白鲞
淡种
淡老三
淡话
澹话
耽
耽对
耽差
耽干系
耽延
耽心事
耽心思
耽耽搁搁
耽迟
胆
胆大
胆托心宽
胆气
胆门
蛋皮
蛋衣
𤁡
当
当中间
当口
当头对面
当头顺
当对
当年
当当齐
当意
当抵
当梢顺
当灶
当着不着
当着勿着
当门前
当面前
挡
潬
铛锣
党
当
当仔
当头
当是
当水
当着
当耍子
当茶
当饱
挡人牌
挡口
挡头篙
挡手
挡抵
挡板
挡风水
攩
档口
荡
倒
倒关子
倒勒
倒断
倒满
倒边
刀刀见底
宕
宕丁当
宕子
宕空筲箕饭
盪
荡洗
荡浦
荡湖
荡湖舟
荡湖船
荡罗
荡荡能
倒头
倒头羹饭
倒帐
倒扳帐
倒扳桨
倒拔蛇
倒灶
倒煤
倒牙
倒箱会
倒箱囡
倒箱女
倒糖担
倒糟
倒膻气
倒西
倒赃
倒运
到
到东
到到架架
到头夫妻
到家
到得
到说道
倒仟
倒勿是
倒反
倒插
倒脱靴
倒说
倒说道
倒醋瓶
倒黄梅
稻坠头
稻床
