参考汉字	参考读音	简要解释
山洞	se32don23	
山坳坳里	se32au21au21li23	
河	ghou113	
河沿	ghou13ye21	
岸	ngoe213	
岸娘[记音]	ngoe21nyan44	岸上。
河滩头	ghou13the44dei21	
堤岸	ti32ngoe23	
驳岸	poh32ngoe23	
河面	ghou13mie21	
河底	ghou13ti21	
河浜浜	ghou13pan44pan21	小河。
河浜	ghou13pan21	见ghou pan pan。
死河浜浜	sy33ghou44pan44pan44	不流动的小河。
死河浜	sy33ghou44pan44	见sy ghou pan pan。
浜斗	pan32tei23	小河湾。
河塘	ghou13daon21	池塘。
河潭潭	ghou13doe44doe21	小池塘。
池潭潭	zy13doe44doe21	见ghou doe doe。
水塘	syu33daon44	积水低洼处。
河泛	ghou13fe21	指夏天高温导致河水缺氧，鱼因缺氧而浮在水面上：~咧，去捞鱼噢。
江	kaon44	
海	he323	
湖	wu113	
百脚港	pah5ciah5kaon55	指水系支流很多的地方，无锡有地名“百脚港”。
大水	dou21syu44	洪水。
潮水	zau13syu21	
涨潮	tsan33zau44	
落潮	loh21zau44	
浪头	laon21dei44	浪。
泉水	zie13syu21	
泉眼	zie13nge21	
温泉	uen32zie23	
井	tsin323	
墩	ten44	河中的小块陆地：上马~。
井水	tsin33syu44	
河水	ghou13syu21	
雪水	sih32syu23	
雨水	yu32syu23	
死水	sy33syu44	
活水	weh21syu44	
自来水	zy21le44syu21	
麻[记音]麻头	mou32mou21dei23	泡沫：伊个洗衣粉~勿得了。
石头	zah21dei44	
石子	zah21tsy44	
石狗卵子	zah32kei21loe21tsy23	光滑的小石子。
石板	zah32pe23	
黄沙	waon13sou21	
砖头	tsoe32dei23	
青转	tshin32tsoe23	
红砖	ghon13tsoe21	
金砖	cin32tsoe23	一种特大型转。
奈[记音]泥	na21nyi44	泥。
奈[记音]泥模模	na21nyi44mou44mou21	用泥捏成的人偶：你俚囡儿勒娘[leh nyan]孛相[beh sian]~。
烂污泥	le21u44nyi21	烂泥，稀烂的河泥。
烂奈[记音]泥	le21na44nyi21	烂泥。
石灰	zah21hue44	
水泥	syu33nyi44	
水门汀	syu33men44thin44	见syu nyi。
三合土	se32gheh2thou23	泥土、熟石灰和沙的混合。
油灰	yeu13hue21	用石灰拌桐油制成的材料，多用于漆匠嵌缝。
灰	hue44	
灰尘	hue32zen23	
埲尘	bon13zen21	见hue。
热水	nyih21syu44	
冷水	lan32syu23	
温吞水	uen32then21syu23	温水。
煤油	mei13yeu21	从石油中提炼而成的一种用于引火以及照明的产品。
火油	hou33yeu44	见me yeu。
洋油	yan13yeu21	见me yeu。
柴油	za13yeu21	轻质石油产品的一类，用作燃料。
柏油	pah21yeu44	沥青。
桐油	don13yeu21	由油桐种子所榨取的油脂制成的油。
机油	ci32yeu23	发动机润滑油。
煤	me113	
煤球	me13jieu21	
蜂窝煤	fon32ou21me23	见me jieu。
小煤球	siau33me44jieu44	鸡蛋状的实心煤球。
煤团	me13doe21	自制的煤球。
煤灰	me13hue21	
金	cin44	
银	nyin113	
铁	thih5	
水银	syu33nyin44	
锡	sih5	
铅	khe44	
烂[记音]铅	le21khe44	铅做的保险丝：~断落咧。
吸铁石	shih5thih5zah5	
玉	nyoh13	
宝石	pau33zah4	
珍珠	tsen32tsyu23	
珠珠头	tsyu32tsyu21dei23	珠子。
子子头	tsy33tsy44dei44	小颗粒。
场化[记音]	zan13wu21	地方。
城	zen113	
城墙	zen13zian21	
城门	zen13men21	
城门洞	zen13men44don21	
城楼	zen13lei21	
城砖	zen13tsoe21	
城头	zen13dei21	
城脚底下	zen13ciah4ti44wu21	
护城河	wu21zen44ghou21	
城里向	zen13li44shian21	城里。
城外头	zen13nga44dei21	
巷	ghaon213	
街	ka44	
桥	jiau113	
桥洞	jiau13don21	
桥堍下	jiau13thou44wu21	桥洞底下。
石桥	zah21jiau44	
木桥	moh21jiau44	
拱桥	kon33jiau44	
洋桥	yan13jiau21	水泥桥。
路	lou213	
马路	mu21lou44	
石子路	zah32tsy21lou23	
弹石路	de13zah4lou21	见zah tsy lou。
柏油马路	pah32yeu21mu21lou23	
石板路	zah32pe21lou23	
公路	kon32lou23	
大路	dou21lou44	
小路	siau33lou44	
乡下头	shian32wu21dei23	乡下。
农村	nyon13tshen21	
菜园	tshe44yoe21	
鱼塘	ng13daon21	
地头脚跟	di21dei44ciah4ken21	地址，住址：你去拿~问问清爽。
地界	di21ka44	地盘。
惠泉	we21zie44	惠山泉。
大洋桥	dou21yan44jiau21	即今工运桥。因旧时称水泥桥为洋桥，故称。
马路娘[记音]	mu21lou44nyan21	①俗称，即今通运路吉祥桥至工运桥段。②马路上。
水弄堂	syu33lon44daon44	南长街清明桥附近“人家尽枕河”，故称。
龙船浜	lon13zoe44pan21	无锡地名，由经常举办赛龙舟而来。
金匮山	cin32gue21se23	无锡旧地名，在今城中崇宁路。
接官亭弄	tsih32koe21din21lon23	无锡地名，“接官亭”为旧时供过往官吏食宿的住所。
推官牌楼	the32koe21ba21lei23	无锡旧时牌坊，在今城中公园中山路侧门南，文革期间被毁。
野马路	ya21mu44lou21	无锡地名，惠通路的俗称。
龙头下	lon13dei44wu21	无锡地名，在寄畅园和惠山寺前的烧香浜，有属于“九龙十三泉”石螭吻一个，终年淙淙流水，惠山泉由此吐入运河。
开春	khe32tshen23	过立春。
孟春	man21tshen44	农历一月。
仲春	tson33tshen44	农历二月。
季春	ci44tshen21	农历三月。
三春	se32tshen23	孟春、仲春、季春合称“三春”。
春二三月	tshen32nyi21se21yuih23	春天：~咧，衣裳可以少穿点咧。
春三头里	tshen32se21dei21li23	初春。
黄梅天	waon13me44thie21	梅雨天气。初夏江淮流域一带经常出现一段较长的阴沉多雨天气。此时，器物易霉，故亦称“霉雨”；又值江南梅子黄熟之时，故亦称“梅雨”或“黄梅雨”。
倒黄梅	tau44waon44me21	出梅后进入盛夏天气后又连阴雨，如同黄梅天。
入梅	zeh21me44	黄梅天开始。
出梅	tsheh21me44	黄梅天结束。
热天	nyih21thie44	夏天。
大热天	dou21nyih4thie21	大夏天。
热天热暑	nyih21thie44nyih4syu21	指炎热的夏天。
三伏	se32voh23	①初伏、中伏和末伏的统称，是一年中气温最高且又潮湿、闷热的日子。②特指末伏。
大伏	da21voh4	指三伏天气。
交大伏	kau32da21voh23	三伏中最热的一段时间。
初伏	tshou32voh23	
中伏	tson32voh23	
末伏	meh21voh4	
出伏	tsheh5voh5	
冷天	lan21thie44	冬天。
大冷天	dou21lan44thie21	大冬天。
三九	se32cieu23	
起九	chi33cieu44	冬至开始。
立春	lih21tshen44	
雨水[节气]	yu32syu23	
惊蛰	cin32zeh23	
春分	tshen32fen23	
清明	tshin32min23	
谷雨	koh21yu44	
立夏	lih32shia23	
小满	siau33moe44	
芒种	maon13tson21	
夏至	wu21tsyu44	
小暑	siau33syu44	
大暑	da21syu44	
立秋	lih21tshei44	
处暑	tsyu44syu21	
白露	bah32lou23	
秋分	tshei32fen23	
寒露	ghoe13lou21	
霜降	saon32kaon23	
小雪	siau33sih4	
大雪	da21sih4	
冬至	ton32tsyu23	
小寒	siau33ghoe44	
大寒	da21ghoe44	
老黄历	lau21waon44lih21	一种带有阴历和阳历合历，并配以周易天干地支的历法，通常用来选择出嫁、动土、出行、开张的吉日。
阴历	in32lih23	
农历	nyon13lih21	见in lih。
阳历	yan13lih21	
公历	kon32lih23	见kon lih。
腊八	lah21pah4	农历十二月初八。
年底	nye13ti21	年末。
年脚跟头	nye13ciah4ken44dei21	临近年底。
过年	kou44nye21	①过春节。②农历新年前祭祖。
年三夜四	nye13se44ya44sy21	泛指腊月廿五到大年夜那几天。
小年夜	siau33nye44ya44	农历除夕前一天。
大年夜	dou21nye44ya21	农历除夕。
年夜快	nye13ya44khua21	见dou nye ya。~过来吃饭吧。
送灶	son44tsau21	腊月廿四。
接灶	tsih32tsau23	除夕时接灶。
守岁	sei33se44	
年初一	nye13tshou44ih21	正月初一。
年头娘[记音]	nye13dei44nyan21	过年的时候，年初。
新年新世	sin32nye21sin21syu23	指在新年期间。
年初头娘[记音]	nye13tshou44dei44nyan21	新年伊始。
路头日	lou21dei44nyih21	正月初五。无锡有正月初五接路头神（即财神爷）的风俗。旧时正月初五商人们都有齐集庙中祭拜财神，祈求发财。初五一过，店肆便又恢复开张营业。
元宵节	yoe13siau44tsih21	
元宵节	nyoe13siau44tsih21	
元宵	yoe13siau21	无馅儿的小汤圆。
元宵	nyoe13siau21	
吃橄榄茶	chih5 ke33le44zou44	元宵节在茶馆里泡茶，惯例加进青橄榄，俗称“吃橄榄茶“。
吃元宝茶	chih5 nyoe13pau44zou21	“吃橄榄茶”又称“吃元宝茶”。橄榄象征元宝，寓意发财得福。
走三桥	tsei33se44jiau44/tsei32se21jiau23	元宵之夜妇女也可结伴出游观灯，名为走三桥，民间有“走过三桥，谷满三廒”的说法。
寒食	ghoe13zeh21	清明前一日。
花朝节	hu32zau21tsih23	农历二月十二。
上巳节	zan21zy44tsih21	农历三月初三。
端阳	toe32yan23	端午节。
百花生日	pah21hu44san44nyih21	江南地区以阴历二月十二为“花朝节”，即花神生日。
稻花生日	dau21hu44san44nyih21	“稻花生日”与“百花生日”为同一天，由于农民在花朝节主要是寄希望于稻谷的丰收，所以在无锡也被称为稻花生日。
过节	kou44tsih21	特指过中元节，祭奠先祖和亡人，一般在农历七月半前一天举行。
七月半	tshih5nyuih5poe55	中元节。
周年	tsei32nye23	人死了一年。
八月半	pah5nyuih5poe55	中秋节。
今年头	cin32nye21dei23	今年。
今年	cin32nye23	
旧年头	jieu21nye44dei21	去年。
旧年	jieu21nye44	去年。
往年	waon21nye44	
开年	khe32nye23	明年，“开”和“年”之间可加“得”，如“等开得年，我再帮你买件新衣裳。”
明年	min13nye21	
明年头	min13nye44dei21	明年。
年把	nye13pu21	一年左右。
腊月	lah21nyuih4	农历十二月。
大月	dou21nyuih4	
小月	siau33nyuih4	
月半	nyuih32poe23	农历每月十五。
号头	ghau21dei44	①月，用来做计月的单位：佗走落得五个~咧。②号码：门牌~。
伊个月	i33keh4nyuih4	这个月。
上个号头	zan13keh4ghau44dei21/zan13keh4  ghau21dei44	上个月。
下个号头	wu13keh4ghau44dei21/wu13keh4 ghau21dei44	下个月。
月头娘[记音]	nyuih21dei44nyan21	月初。
月初	nyuih21tshou44	
礼拜	li32pa23	星期。
礼拜天	li21pa44thie21	星期天。
脚额[记音]头	ciah32ngah21dei23	今天：我~去看电影个。
脚额[记音]	ciah32ngah23	见ciah ngah dei。今天。
今额[记音]	cin32ngah23	见ciah ngah dei。今天。
今朝	cin32tsau23	见ciah ngah dei。今天。
谢[记音]头	zia32dei23	昨天：我~呒不去上班。
昨日	zoh21nyih4	见zia dei。
萌[记音]朝	men13tsau21	明天。
前日子	zie13nyih4tseh21	前天。
大前日子	dou21zie44nyih4tseh21	大前天。
后日	ghei13nyih21	后天。
大后日	dou21ghei44nyih21	大后日。
前几日	zie13ci44nyih21	前几天。
前两日	zie13lian44nyih21	
前枪[记音]势里	zie13tshian44syu44li21	前段时间。
十几日	zeh21ci44nyih21	十几天。
十来日	zeh21le44nyih21	十来天。
好几日	hau44ci44nyih21	好几天。
一日天	ih5nyih5thie55	一天。
两日天	lian13nyih4thie21	两天。
日朝	nyih21tsau44	每天。
逐日	zoh21nyih4	天天。
日逐	nyih21zoh4	见zoh nyih。天天。
半日	poe33nyih4	半天。
大半日	dou21poe44nyih21	大半天。
一日到夜	ih5nyih5tau55ya55	一天到晚。
空早头	khon32tsau21dei23	早上：~早点出来，有事体要办的。
早晨头	tsau44zen44dei21	见khon tsau dei。
老清空早	lau13tshin44khon44tsau21	大清早。
上半日	zan21poe44nyih21	上午。
上昼里	zan21cieu44li21	见zan poe nyih。上午。
上昼	zan21cieu44	见zan poe nyih。上午。
中午头	tson32u21dei23	中午。
吃饭辰光	chih32ve21zen21kuaon23	见tson u dei。中午。
下半日	wu21poe44nyih21	下午。
下昼里	wu21cieu44li21	见wu poe nyih。下午。
下昼	wu21cieu44	见wu poe nyih。下午。
后半日	ghei21poe44nyih	见wu poe nyih。下午。
日里向	nyih32li21shian23	白天。
日里	nyih32li23	见nyih li shian。白天。
日清日白	nyih32tshin21nyih21bah23	大白天：~睏啥个觉？
夜快头	ya32khua21dei23	傍晚。
夜快	ya32khua23	见ya khua dei。傍晚。
黄昏头	waon13huen44dei21	见ya khua dei。傍晚。
黄昏	waon13huen21	见ya khua dei。傍晚。
夜黄昏	ya21waon44huen21	快天黑之前。
齐夜快	zi13ya44khua21	见ya waon huen。
夜里向	ya21li44shian21	晚上。
夜里	ya21li44	见ya li shian。晚上。
夜头	ya21dei44	见ya li shian。晚上。
半夜三更	poe44ya44se44ken21	
半夜	poe44ya21	
大半夜	dou21poe44ya21	
一夜天	ih21ya44thie21	一晚上。
时辰	zy13zen21	指时刻：现在是啥个~？
辰光	zen13kuaon21	①指时刻：现在几化[ci hu]~，阿是三点钟啊？②时候：现在是吃饭~。
三日两头	se32nyih21lian21dei23	三天两头。
一脚[记音]	ih5ciah5	经常。
日脚[记音]	nyih21ciah5	日子：~一天一天过。
早	tsau323	①时间“早”：你来的忒以[theh i]~咧。②天色“早”：你出来得~到[tau]，太阳刚刚升出来呀。③早晨打招呼：~！上班啊~
老早	lau13tsau21	①很早：你~出来做啥？②很久以前：伊个是~个事体。
老老早早	lau13lau44tsau44tsau21	①很早很早：你~出来做啥？②很久以前：伊个是~个事体咧。
晏	e34	①时间“晚”：你又~落咧瓦，会议已经开始咧。②天色“晚”：天忒以[theh i]~咧，转去吧。
晏点	e33tie44	见e shih。
晏歇	e33shih4	晚些，过会儿。
一歇歇	ih5shih5shih5	一小会儿，一会儿：等~，我马上就来。
一歇	ih5shih5	一会儿。
一大歇	ih21dou44shih21	好一会儿。
个把钟头	kou44pu44 tson32dei23	一个小时左右。
长远	zan13nyoe21	许多时间，很久。
长远	zan13yoe21	见zan yoe。
日长世久	nyih32zan21syu21cieu23	时间很久了。
起初	chi33tshou44	一开始。
先起头	shi32chi21dei23	见chi tshou。
初起头	tshou32chi21dei23	见chi tshou。
原先	nyoe13sie21	开始的时候；从前：~佗身体蛮好个，现在勿好咧。
早先	tsau33sie44	见nyoe sie。
当辰光	taon44zen44kuaon21	当时。
后歇来	ghei21shih4le21	后来：我~再看见佗个咧。
下届	wu13ka21	以后，下次。
往后	waon21ghei44	以后。
新近	sin32jin23	最近。
搿枪[记音]	geh21tshian44	这段时间。
从前头	zon13zie44dei21	从前。
旧娘[记音]	jieu21nyan44	过去，从前：~呒不电风扇个。
就娘[记音]	zei21nyan44	见jieu nyan。
老法头里	lau32fah21dei21li23	很早以前，从前：伊个是~个事体咧啘。
老底子	lau32ti21tseh23	见lau fah dei li。
小辰光	siau44zen44kuaon21	小时候：我~聪明到勿得了。
小哈[记音]里	siau44hah4li21	见siau zen kuaon。
小哈[记音]头里	siau44hah4dei44li21	见siau zen kuaon。
小哈[记音]里	siau44ha44li21	
埨头	len21dei44	畦。
麦埨	mah21len44	种着麦的畦。
行[记音]头地	ghaon13dei44di21	田上的陌。
仓库	tshaon32khu23	
场	zan13	打谷晒谷的场地。
坌田	ben213-13 die113	耕地。
劗地	tse32di23	用农具以人力把土敲碎。
削泥	siah5 nyi113	用农具把泥土弄碎。
浸种	tsin44tson21	用清水或各种溶液浸泡种子，以促进种子较早发芽，也有杀虫、消毒的效果。
播种	pou32tson23	
落谷	loh21koh4	稻子下种。
打青	tan33tshin4	为麦夯实麦根。
敲麦	khau44 mah13	春天时用榔头将麦根敲实。
撩麦沟	liau13 mah21kei44	将敲麦时落下的土拨上麦垄。
莳秧	zy13ian21	插秧。
薅草	hau44 tshau323	除草。
耘稻	yuin13dau21	稻田除草。
耥稻	thaon33dau44	在水稻田横向推拉除草。
拳[记音]稻	jieu13dau21	在水稻田纵向推拉除草。
捉虫	tsoh5 zon113	除虫。
灌水	koe44syu21/koe44 syu323	灌溉。
做岸	tsou44 ngoe213	为防止水稻田漏水，修整田岸。
搁田	koh21die44	暂停灌水，让水稻长根。
煠[记音]药水	zah13 yah21syu44	喷洒农药。
秀稻	sei44 dau13	稻子抽穗。
秀麦	sei44 mah13	麦子抽穗。
斫稻	tsoh32dau23	割稻。
割稻	keh32dau23	见tsoh dau。
割麦	keh5mah5	见tsoh mah。
斫麦	tsoh5mah5	割麦。
掘稻根	jiuih13 dau21ken44	挖除稻子的残根。
大收	dou21shieu44	秋收。
收稻	shieu32dau23/shieu44 dau13	
掼稻	gue21dau44	人工甩稻脱粒。
轧稻	gah32dau23	机器脱粒。
掼麦	gue21mah4	人工甩麦脱粒。
扬麦	yan13mah21	把麦子用木锨扬起。
三麦	se32mah23	大麦、小麦、元麦。
轧米	gah13mi21	碾米。
牵砻	chie32lon23	用机器脱去谷壳。
舂米	son44 mi13	
肥料	vi13liau21	
